"","ADM1_CODE","year","value","upper","lower"
"1",1032,2000,6.18996053807762,6.82649051317735,5.48542270193022
"2",1050,2000,6.46669089665428,7.30927371515857,5.55556641068494
"3",1066,2000,8.40097237674319,9.40496097698272,7.38079906755958
"4",1176,2000,6.64051796876265,7.82524081079264,5.40752980908351
"5",1225,2000,8.91198727712233,10.914335864897,6.7363900526398
"6",1239,2000,8.54982773849044,9.79636112702632,7.35623398388449
"7",2032,2000,7.09388191715424,7.76660532990514,6.42085677995602
"8",2050,2000,7.66696558140531,8.48277888734594,6.87356531828751
"9",2066,2000,7.15712800238143,8.09615273709361,6.21708659988303
"10",2176,2000,7.85246715867264,9.12258539944638,6.52476883404264
"11",2225,2000,9.29685361644392,11.1464636359811,7.24029146779359
"12",2239,2000,9.19119896509958,9.94949514983409,8.43617353968664
"13",3032,2000,7.33607929985591,7.93032362444371,6.78311221848869
"14",3050,2000,6.52150178506355,7.49950709672189,5.43429333333469
"15",3066,2000,7.02946427773333,8.01275560123972,6.08740077068516
"16",3176,2000,6.82056811803363,8.14929454995393,5.34702408704031
"17",3225,2000,8.39212432599133,10.0996241852253,6.44881996071922
"18",3239,2000,7.77987102377275,8.47799507795643,7.03015485031232
"19",4032,2000,7.63855837240591,8.25407020922346,6.98139312209075
"20",4050,2000,8.76917330647417,9.73662655708664,7.82816024451907
"21",4066,2000,7.86387199348055,8.94795977820772,6.82711194972408
"22",4176,2000,9.30584428810396,10.6159064067857,7.95000745143596
"23",4225,2000,9.16333862789645,11.0657890872288,7.10778898573741
"24",4239,2000,9.6590620743099,10.5211351006316,8.73172452833767
"25",5032,2000,7.7324761838461,8.51318066650487,6.98407772031617
"26",5050,2000,7.78738574623364,8.627371178729,6.90426841662588
"27",5066,2000,7.45286698584517,8.46746673523949,6.52138164795726
"28",5176,2000,6.93801220206079,8.21443321865349,5.69030222824799
"29",5225,2000,7.62080348980018,9.39169740600884,5.64794484682866
"30",5239,2000,8.19547958266539,9.06999320380399,7.34621818820343
"31",6032,2000,6.50097911782026,7.31633521965812,5.74818392309536
"32",6050,2000,7.13531191364235,8.12627699940446,6.16134992519373
"33",6066,2000,7.34781554986337,8.25768538446975,6.41655812819875
"34",6176,2000,6.58972768033632,7.76444949713751,5.33359230893909
"35",6225,2000,8.60557662555367,10.4079335495838,6.65126043454585
"36",6239,2000,9.47710510412459,10.1663421620096,8.76907008297824
"37",7032,2000,6.30181859253992,6.90988053592744,5.68591228836993
"38",7050,2000,7.59751931125675,8.59999323343157,6.60581450264644
"39",7066,2000,9.18097989912537,10.1461910391547,8.15687574357858
"40",7176,2000,10.1872239053385,11.7501073997707,8.44475380671871
"41",7225,2000,8.07916828080032,10.0264384507836,5.90258438881157
"42",7239,2000,9.9082675477845,10.76504366205,9.00914259436164
"43",8032,2000,8.15279169593538,8.78832455606849,7.48817435298319
"44",8050,2000,6.50353704820733,7.61461525456854,5.43476194791979
"45",8066,2000,7.78257532720402,8.68997022167285,6.89282734753125
"46",8176,2000,7.15754319677282,8.51124954439673,5.85898036385885
"47",8225,2000,9.49836888911469,11.6367459072489,7.36566098727871
"48",8239,2000,8.08296524880856,9.09414062388345,7.12210098594594
"49",9032,2000,7.22382787640304,7.98646612546726,6.44230495280519
"50",9050,2000,6.89573705552159,8.1235632654289,5.71763675474357
"51",9066,2000,8.96699129596826,10.3336237143596,7.58059426899012
"52",9176,2000,6.86035135983711,8.17774357972478,5.45303106509791
"53",9225,2000,8.80798487841655,10.552276237698,6.86175940805968
"54",9239,2000,8.89517887455234,9.93129194369277,7.89814300690086
"55",10050,2000,6.52142657363772,7.47041597902506,5.62012126013715
"56",10066,2000,9.12833294790722,10.0356221778709,8.26937764784082
"57",10176,2000,6.75798908117469,8.13239678566289,5.39472352195132
"58",10225,2000,9.15074976234203,11.1334678633925,6.98555016068949
"59",10239,2000,NA,NA,NA
"60",11050,2000,7.24085569503023,8.15592826913728,6.30658957095028
"61",11066,2000,7.90998010217891,8.89044664695207,6.85765697950097
"62",11176,2000,9.49629352000261,10.7962836083504,8.15163604840619
"63",11225,2000,8.86770788711212,10.743036210831,6.81987486923694
"64",11239,2000,10.3342234005196,11.3250021243376,9.33736321540991
"65",12050,2000,6.49037249358604,7.45348353633606,5.51934950177517
"66",12066,2000,8.94006995478211,9.81543265786134,7.97181724353666
"67",12176,2000,7.83438483098782,9.08465643667426,6.60867905510298
"68",12225,2000,7.70553406408856,9.52938520023562,5.67463748961507
"69",12239,2000,8.95547888668996,9.7722734420047,8.19406972664382
"70",13050,2000,6.95883633384676,7.97055558085448,6.00721025392904
"71",13066,2000,7.62149682509164,8.4135557261692,6.81683641469961
"72",13176,2000,8.48772930424443,9.89914175587166,7.08031698625347
"73",13225,2000,8.18338203618504,10.0334856440649,6.21268433838329
"74",13239,2000,8.34167169731016,9.04515469312914,7.69576959390311
"75",14050,2000,8.70675044328873,9.5115631721264,7.88109478811876
"76",14066,2000,7.65642783164799,8.44588010593555,6.8102596606748
"77",14176,2000,8.70262039863801,10.118024820409,7.20492284855489
"78",14225,2000,7.48264314454009,9.61038983941097,5.38537191627806
"79",14239,2000,9.05120501313844,9.8893102299407,8.13265437443353
"80",15050,2000,6.71151279335352,7.89842935950321,5.55688264869481
"81",15066,2000,6.96291217217121,7.92869660546897,6.00048100765056
"82",15176,2000,9.96200157173161,11.5744413897573,8.2706187717049
"83",15225,2000,8.85149596500504,10.6678748045244,6.86811378328817
"84",15239,2000,8.28591815180174,9.20803390470358,7.31227324739816
